"name","category","license","license_url","icon_url","title","slug","description","downloads","rating","created_at","url","json_url","download_url","status_detail","downloads_shortened","games_detail","latest_release_version","latest_release_version_formatted","latest_release_at","latest_release_at_atom","author","author_icon_url","author_id","tags_all","created_at_atom","updated_at_atom","watchers","watchers_shortened","badges"
"ArenaDeathmatch","2",,,"https://assets.umod.org/images/icons/plugin/5b67812a9369c.jpg","Arena Deathmatch","arena-deathmatch","Arena deathmatch event for Event Manager","708","0.00","2018-08-05 22:58:50","https://umod.org/plugins/arena-deathmatch","https://umod.org/plugins/arena-deathmatch.json","https://umod.org/plugins/ArenaDeathmatch.cs","@{value=1; message=; text=Published; icon=check; class=success}","708","System.Object[]","1.2.22","v1.2.22","2018-08-31 13:26:49","2018-08-31T13:26:49+00:00","k1lly0u","https://assets.umod.org/images/icons/user/5b39dd7690b34.png","72PK2jKL94","rust,events,fun","2018-08-05T22:58:50Z","2019-02-12T14:34:01Z","20","20",""
"ArenaWallGenerator","2",,,,"Arena Wall Generator","arena-wall-generator","An easy to use arena wall generator","715","0.00","2018-07-25 02:35:01","https://umod.org/plugins/arena-wall-generator","https://umod.org/plugins/arena-wall-generator.json","https://umod.org/plugins/ArenaWallGenerator.cs","@{value=1; message=; text=Published; icon=check; class=success}","715","System.Object[]","1.0.3","v1.0.3","2018-07-27 06:46:43","2018-07-27T06:46:43+00:00","nivex","","EOeK14yG4q","rust,arenas,fun,zonemanager,generator","2018-07-25T02:35:01Z","2019-02-12T13:56:20Z","16","16",""
"ArenaWalls","2",,,,"Arena Walls","arena-walls","Simple plugin to remove walls, mainly for arena servers.","246","0.00","2018-08-05 23:00:07","https://umod.org/plugins/arena-walls","https://umod.org/plugins/arena-walls.json","https://umod.org/plugins/ArenaWalls.cs","@{value=1; message=; text=Published; icon=check; class=success}","246","System.Object[]","1.0.1","v1.0.1","","","","","0","rust,imported","2018-08-05T23:00:07Z","2019-02-12T13:02:18Z","4","4",""
"ArrowRaiding","2",,,"https://assets.umod.org/images/icons/plugin/5b9dd066e9d0c.png","Arrow Raiding","arrow-raiding","Allow players to break wooden doors using bow and arrow","357","0.00","2018-08-05 21:53:11","https://umod.org/plugins/arrow-raiding","https://umod.org/plugins/arrow-raiding.json","https://umod.org/plugins/ArrowRaiding.cs","@{value=1; message=; text=Published; icon=check; class=success}","357","System.Object[]","1.2.0","v1.2.0","2018-09-15 17:12:45","2018-09-15T17:12:45+00:00","BrunoPuccio","","qV5m7aJKNE","rust,arrow,wooden door,raid","2018-08-05T21:53:11Z","2019-02-12T13:02:22Z","4","4",""
"Authentication","2",,,,"Authentication","authentication","Players must enter a password after they wake up or else they'll be kicked.","483","0.00","2018-08-05 22:46:58","https://umod.org/plugins/authentication","https://umod.org/plugins/authentication.json","https://umod.org/plugins/Authentication.cs","@{value=1; message=; text=Published; icon=check; class=success}","483","System.Object[]","2.1.0","v2.1.0","","","","","0","rust,imported","2018-08-05T22:46:58Z","2019-02-12T17:15:19Z","3","3",""
"AutoChat","2",,,"https://assets.umod.org/images/icons/plugin/5b9bd700e5031.png","Auto Chat","auto-chat","Automatic clans/private chat switching","530","0.00","2018-08-05 22:11:41","https://umod.org/plugins/auto-chat","https://umod.org/plugins/auto-chat.json","https://umod.org/plugins/AutoChat.cs","@{value=1; message=; text=Published; icon=check; class=success}","530","System.Object[]","0.5.0","v0.5.0","2018-10-28 01:34:11","2018-10-28T01:34:11+00:00","Frenk92","https://assets.umod.org/images/icons/user/5b76a62abc861.jpg","lDaKBZ3KEX","rust,imported,auto,chat,private,clans,gui","2018-08-05T22:11:41Z","2019-02-12T13:02:41Z","13","13",""
"AutoDoors","6",,,"https://assets.umod.org/images/icons/plugin/5c4d3c4f674bb.png","Auto Doors","auto-doors","Automatically closes doors behind players after X seconds","4947","0.00","2018-08-02 23:49:42","https://umod.org/plugins/auto-doors","https://umod.org/plugins/auto-doors.json","https://umod.org/plugins/AutoDoors.cs","@{value=1; message=; text=Published; icon=check; class=success}","4.9K","System.Object[]","3.1.2","v3.1.2","2018-08-02 23:50:10","2018-08-02T23:50:10+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","rust,hurtworld,doors,automation","2018-08-02T23:49:42Z","2019-02-12T19:21:56Z","169","169",""
"AutoFuel","2",,,"https://assets.umod.org/images/icons/plugin/5b57e1d5674fa.png","Auto Fuel","auto-fuel","Automatically fuels lights using fuel from the tool cupboard's inventory","2591","0.00","2018-07-25 02:35:01","https://umod.org/plugins/auto-fuel","https://umod.org/plugins/auto-fuel.json","https://umod.org/plugins/AutoFuel.cs","@{value=1; message=; text=Published; icon=check; class=success}","2.6K","System.Object[]","1.1.0","v1.1.0","2018-11-14 05:21:41","2018-11-14T05:21:41+00:00","redBDGR","https://assets.umod.org/images/icons/user/5b5bc70fe5bcb.png","eqV5mPgNEd","rust,mechanics,automation","2018-07-25T02:35:01Z","2019-02-12T18:03:45Z","78","78",""
"AutoLightsOut","2",,,"https://assets.umod.org/images/icons/plugin/5b6771887ffd1.jpg","Auto Lights Out","auto-lights-out","Turns all lights out at night then allows user to turn them back on again.","571","0.00","2018-08-05 21:52:08","https://umod.org/plugins/auto-lights-out","https://umod.org/plugins/auto-lights-out.json","https://umod.org/plugins/AutoLightsOut.cs","@{value=1; message=; text=Published; icon=check; class=success}","571","System.Object[]","1.0.3","v1.0.3","2018-08-05 21:52:15","2018-08-05T21:52:15+00:00","DylanSMR","","89N5z9gBjp","rust,imported","2018-08-05T21:52:08Z","2019-02-12T13:02:58Z","7","7",""
"AutoPurge","2",,,"https://assets.umod.org/images/icons/plugin/5b677d6c9eee3.jpg","Auto Purge","auto-purge","Automatically removes entities created by inactive users","1253","0.00","2018-08-05 22:42:52","https://umod.org/plugins/auto-purge","https://umod.org/plugins/auto-purge.json","https://umod.org/plugins/AutoPurge.cs","@{value=1; message=; text=Published; icon=check; class=success}","1.3K","System.Object[]","1.6.1","v1.6.1","2018-08-05 22:42:58","2018-08-05T22:42:58+00:00","FuJiCuRa","https://assets.umod.org/images/icons/user/5b3cf8f46c05c.png","wMoKpkyr3D","rust,automation,cleanup","2018-08-05T22:42:52Z","2019-02-12T13:03:02Z","73","73",""
"AutoResetTargets","2",,,"https://assets.umod.org/images/icons/plugin/5c4d41bd7002a.png","Auto Reset Targets","auto-reset-targets","Automatically resets knocked down targets after 3 seconds","529","0.00","2018-07-25 02:35:01","https://umod.org/plugins/auto-reset-targets","https://umod.org/plugins/auto-reset-targets.json","https://umod.org/plugins/AutoResetTargets.cs","@{value=1; message=; text=Published; icon=check; class=success}","529","System.Object[]","1.0.1","v1.0.1","2018-08-01 20:43:37","2018-08-01T20:43:37+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","rust,automation,targets","2018-07-25T02:35:01Z","2019-02-12T13:03:06Z","8","8",""
